Job title,Company,Location,Salary,Description
Data Analyst,carsales,Melbourne VIC,None," Are you ready to be a big part of something big? At carsales, we're all about making buying and selling a great experience. For 25 years we’ve been evolving with the new economy to help people choose how they move today and tomorrow. When it comes to your career, we want to provide big opportunities to help you make a big impact. But for this to be possible, we strive to feel small. Small enough to quickly change tack, small enough to learn from different departments and small enough to connect authentically with leadership. Not something you’d expect from one of the country’s biggest tech companies, is it? And one of the best parts? We give you the autonomy to choose the working location that best suits your lifestyle – Office, Hybrid or Anywhere. What’s on offer: What you’ll do: This is your opportunity to transform the way data analytics is done within a world class business. The Analytics and Insights team connects our stakeholders from across the business with the information they need to make data-informed decisions. You will join an established team of data specialists, helping colleagues work through complex tasks and helping our clients and internal stakeholders meet their analytics needs. The Data Analyst will support product, commercial and operational empowered teams across the business, by assisting with reporting and generating insights. The ideal candidate is passionate about solving problems and generating insights from various data sources. We’re looking for someone skilled in all aspects of data analytics, including gathering requirements, data preparation, transformation, and visualisation. What are we looking for? A few other things we want to let you know about... So come and join our team - because every role is a big role in our plans to go big."
Analytics & Insights Analyst,Service Stream,Victoria,Senior Data Analyst,N/A
Data Engineer / Analyst,Ahrens Pty Ltd,Kingsford SA,Senior Data Analyst,"About the Company Ahrens’ renowned reputation in Engineering, Manufacturing & Construction is set to soar with our company ‘Gearing for Growth’ across our national and international business footprints. Be part of the ‘Extraordinary & Rewarding’ journey of our 120-year-old, fifth-generation family-owned company as we strive to hit our next milestone revenue benchmark. About the Role As part of our continued growth, we have an exciting opportunity for an experienced Data Engineer / Analyst to join the Group Support Services division at the Ahrens Group. This role involves delivering high-quality data extraction, manipulation and modeling to address business and technical challenges. They will be able to increase the capacity and capability in the business to perform robust, accurate, efficient, and timely analysis reporting. This includes the delivery of continually improving information and data supporting the organisations financial and operational activities, through, but not limited to, KPI and dashboard type information. Key Responsibilities Skills and Experience Why Work at Ahrens We are continually evolving and investing in our people and facilities to achieve satisfying outcomes. We strive for a positive and supportive team culture which embraces diversity and innovation, and aligns with our core values including commitment, integrity and safety. In return we reward those who passionately work towards realising our vision. Benefits How to Apply To apply submit your updated resume and cover letter, further enquiries can be directed to Anja Hajdin, HR Coordinator on 08 8521 0083 or via email to [email protected] Ahrens is Equal Opportunity employers who recognise the value in a diverse workforce. We are dedicated to promote an inclusive workplace and encourage applications from all genders and people of Indigenous backgrounds ."
Data Governance Business Analyst - Australia,Cervello Inc,N/A,None,"We are looking for a Business Analyst to support the growth of our new fast growing Data Governance (DG) practice area. You will be responsible for working closely with our Data Governance Senior Director in supporting our data governance project workstreams to our various clients. You will have the opportunity to put your footprint on the growth of this team and accelerate delivery for our clients in this domain. The individual in this role must have strong interpersonal and communication skills as well as have the ability to prioritize, organize and coordinate simultaneous projects and tasks. Responsibilities  Desired Skills and Abilities: About Us: Our Workplace is Fun and Fast-Paced At Cervello we believe in the power of connection. We focus on helping organizations harness the interconnectedness of digital capabilities and data. We are problem solvers and builders focused on helping our clients win with data. We are lively and creative, and foster a casual environment that is conducive to collaboration and problem solving. We take our work seriously but not ourselves. It’s the perfect balance of freedom and accountability. If you want to be part of something great – join us! To learn more, visit mycervello.com. You will report to your project leaders, teammates, and practice leaders. Cervello practices 360 reviews twice a year, and we live our values. We offer a great benefits’ package including, paid parental leave, 401k pension match, bonuses, and comprehensive insurance. We place an emphasis on mental health and work to ensure our employees are happy and healthy. Equal Employment Opportunity and Nondiscrimination Cervello Inc., a Kearney company is an equal opportunity employer. Cervello prides itself on providing a culture that allows employees to bring their whole selves to work every day. We are committed to building a diverse, unbiased and inclusive workforce. Cervello is committed to a work environment that supports and respects all individuals and in which all employment related processes are merit-based alone and applied without discrimination on the basis without regard to a person's gender identity or expression, sexual orientation, race, religion, age, national or ethnic origin, disability, marital status, pregnancy status, military service status, citizenship, genetic information or any other characteristics consistent with applicable laws. This includes providing reasonable accommodation for disabilities, or religious beliefs and practices. Cervello is committed to ensuring that our online application process provides an equal employment opportunity to all applicants, including individuals with disabilities. Applicants with disabilities that prevent or limit their ability to use or access the Cervello site, or that require any other accommodation in the application process due to a disability, may request a reasonable accommodation with the recruitment team who will be happy to assist. Revised 2/1/2023 puaOtIOlwe"
Data Analyst,Advance Delivery Consulting (ADC),Australia,None,About the roleJob DescriptionSkills and experience
Business Analyst,Tamworth Regional Council,Tamworth NSW,None,"Business Analyst Location: Tamworth, NSW THE OPPORTUNITY COULD THIS BE YOU? To be successful in this role you will have a driven and enthusiastic approach. The Business Analyst is responsible for:TO BE SUCCESSFUL IN THIS ROLE YOU WILL NEED INTERESTED? WE LOOK FORWARD TO MEETING YOU! For a confidential discussion, please contact Lisa McMahon, Project Manager, on 0403232356. Salary range: Grade 14 - $1,515.10 - $1,639 per week for a 35 hour work week. Salary may be negotiated based on skills, experience and your value to our organisation. Flexible working arrangements will be considered by mutual agreement and according to operational requirements. Shortlisted applicants will be required to undertake a Pre-employment Medical Screening including Alcohol & Other Drugs Testing. Apply Now! Applications Close: 11.59pm Wednesday 26 July 2023 - WHY IS IT ‘WORTH’ WORKING AT TAMWORTH REGIONAL COUNCIL? For your LIFESTYLE: More time in your day with flexibility for your passions, family or play! Flexible Work Arrangements: your work/life balance is important to us. Approved by mutual agreement according to operational requirements (examples include condensed hours, job share, 19 day months, 9 day fortnights, time in lieu as approved) Attractive Leave Options For our COMMUNITY: Help create Tamworth tomorrow, leave your mark on our city. At Council we have the honour of leaving a legacy on our community. We create and enhance world class facilities and events. We develop Tamworth’s economy through investment and infrastructure. We ensure our city is sustainable for future growth and success. For your CAREER: Boost your career, the sky is the limit. Council is a giant pathway for forging your career and we prioritise growing our own talent, through training and professional development. Our Educational Assistance Program provides opportunities to pursue study in a higher-level role or related qualification/field. For BELONGING: Join a family that values team spirit and genuinely cares about your wellbeing.A GREAT PLACE TO LIVE AND WORK! Tamworth Regional Council proudly sits on Kamilaroi Country, the traditional lands of the Gomeroi people, with a large diverse workplace culture with over 650 employees who are proud to service our community. The Tamworth region is home to over 60,000 people and is a thriving economic and cultural hub in the North West of NSW. Our recently adopted plan for the future of the region, ‘Blueprint 100’, drives strategic vision for growth as a region, as we plan for how the city and the region will sustainably accommodate a population of 100,000 people. Our people strive to build a great organisational culture fostering our shared values of Teamwork, Equity, Accountability, Customer Orientation and Health and Safety whilst embracing the drive for excellence, innovation and respect. ABOUT OUR REGION The Tamworth Regional is a fabulous place to call home boasting the vibrant regional city of Tamworth along with the towns of Manilla, Barraba, Nundle and Kootingal as well as 17 hamlets, villages and rural areas. Located just 4 hours’ drive (or a direct flight) to bustling Sydney and multiple coastal locations within 3-4 hours’ drive, Tamworth is a central hub and a place to enjoy all year round. Tamworth offers an enviable lifestyle with all the conveniences and services you’d expect from a larger city, coupled with a relaxed pace of life with opportunities to enjoy all that nature has to offer, along with being a great place to raise children, make long term friends and create a professional career. As the capital of the North West region, Tamworth is home to major health and education centres, affordable housing options to suit all lifestyles, attractive employment and business opportunities with a robust and innovative local economy. In addition, the Tamworth region boasts a proud sporting culture with world class facilities and a supporting community of clubs. Tamworth Regional Council is an Equal Employment Opportunity Employer committed to supporting a diverse, respectful, safe and inclusive workplace. We encourage applications from all backgrounds and ages including Aboriginal and Torres Strait Islander, LGBTIQA+, people with disabilities and other diversity groups. If you require additional support or any reasonable adjustments during the recruitment process, please let us know during the application process. Council's COVID Safe Workplace Policy has been designed and adopted to protect the health and safety of our people, our customers and the community. It is a condition of employment that all applicants are fully vaccinated and produce evidence of their vaccination status at interview."
Credit Risk - Analyst - Sydney,JPMorgan Chase & Co,"85 Castlereagh St, Sydney NSW 2000",None," An exciting opportunity to join the J.P. Morgan Project Finance and Infrastructure Credit Risk team and work on a wide variety of client types spanning multiple industries and exercise analytical skills to assess the risks in highly structured project financings and infrastructure transactions. Job descriptionThe Project Finance & Infrastructure Credit Risk team structures new and manages a portfolio of existing loans and related credit exposure to greenfield and brownfield projects across multiple sectors, including energy, power and transportation. The team’s coverage is global, with APAC-based members focusing on opportunities throughout the entire region. As a Credit Risk Analyst, you will work with senior team members and engage with Investment Banking, Global Corporate Bank, Infrastructure Financing & Advisory, Markets and other partners throughout the Bank. This role provides an opportunity to develop analytical skills on highly structured transactions across a range of industries and countries in a fast paced and highly competitive environment.Job Responsibilities:Required qualifications, capabilities, and skills:"
Data Governance Analyst,Australian Pharmaceutical Industries,Docklands VIC,None,"About the role  We are seeking a dedicated and experienced Data Governance Analyst to join our team. The Data Governance Analyst will be responsible for implementing the data governance framework across Wesfarmers Health businesses, ensuring adherence to data governance policies and standards, and promoting good data governance practices. The successful candidate will work collaboratively with various stakeholders to develop and maintain data controls, support data sharing agreements, and assess data and privacy risks on projects.  The responsibilities for this role include:  Our ideal candidate would have the following experience/attributes:  We value our employees by offering:   This is an opportunity to join a highly regarded and established company offering excellent career prospects and employee benefits. API is also committed to supporting the Workplace Gender Equality Agency requirements. For more information about API please visit our website at www.api.net.au"
Data Analyst,Cloudstreet Consulting,Darwin NT,None,Work ExperienceIndustrySalaryCityState/ProvinceCountryZip/Postal Code
Product Analyst,Qantas Airways Limited,Sydney NSW,None,N/A
Senior Data Analyst,National Health and Medical Research Council,Melbourne VIC,None,Position Description Opens in new window
Data & Reporting Analyst,Rabobank,Sydney NSW 2000,None,"Rabobank is the world’s leading specialist in food and agribusiness banking. One of our key strengths lies in our people who have a deep understanding of agriculture and are committed to adding long-term value for clients. Our commitment to our employees and clients is at the heart of everything we do. Rabobank has an opening for a Data & Reporting Analyst. Based in Sydney, this role is structured within the Financial Economic Crime (FEC) Operations and Intelligence Unit (part of the COO Domain). Within this unit, the Regulatory Delivery and Implementation team facilitates the implementation of regulatory changes and special projects, looks after data analytics, and manages from a local perspective all FEC systems and models.  You can make a difference by creating value from data-driven innovations. On a day-to-day basis, you will have a variety of tasks including analysing the needs of the FEC team and translating the needs into solutions. You will collect, analyse and turn data into actionable insights, with the purpose of providing timely and complete information that contributes to the decision-making process. In this role you will also support the FEC Model & Data Management Lead in meeting our data management requirements. This is a hands-on role requiring an analytical mindset to solve problems. Top Role Accountabilities:  Experience, Skills and Attributes you will bring to the role: What we're proud to offer you: Rabobank Australia has recently been awarded 18th place in LinkedIn’s Top Companies 2023: The 25 best workplaces to grow your career in Australia. We are in extremely proud of this achievement, as it reflects the investment in our people, their growth and development. Rabobank is committed to a culture where diversity and inclusion is valued, respected and encouraged. We welcome applicants from diverse cultures, faith and sexual orientation. If you’d like to discuss how we can make our opportunities more accessible to you, please let a member of the Talent Acquisition team know."
N/A,N/A,N/A,None,N/A
Senior Data Analyst - Remote,humm,Sydney NSW,None," At the hummgroup we offer a blended approach to working that gives you the flexibility to work at home or in the office depending on what you have on. We ask that you keep our customers front of mind at all times and that you get together with your team atleast twice a week to connect and collaborate (and attend our #intsaworthy events). The rest is open for discussion. hummgroup (ASX-HUM) is one of Australasia’s most successful and enduring fintech organisations with a proud legacy of rewriting the playbook for digital spending. We help people buy everything, everywhere, every day. Our product ecosystem of buy now pay later, credit cards, and business financing products has been designed around the core needs of today's shoppers, retailers, and small and medium enterprises. Sitting in the Finance team, the role of Senior Data Analyst will be offered as a 12 month Fixed-Term contract to help drive the transformation into finance operation by developing automated data/reporting capability. This role you will help drive the transformation into finance operation by developing automated data/reporting capability. You will need work autonomously and show initiative to identify and drive automation opportunity in many aspects of finance operation. What's so exciting about this role? Who will thrive in this role? You will be customer obsessed and driven to want to make a positive difference in people’s lives. Your ability to thrive in a fast-paced environment and step-up when a challenge is present will be part of your skill set. As a visionary executor who will roll up your sleeves to get things done. We are also looking for someone who brings: Working at hummgroup The hummgroup is in growth mode, and with that comes the unique opportunity to truly own and build your career journey with us. This role will allow you the freedom to further develop, be creative and to champion best practices. The hummgroup embraces flexible working arrangements, ensuring a genuine work-life balance and fun, vibrant culture – a team of highly engaged and high performing people, all intent on revolutionising the way people pay. If this sounds like the opportunity you have been looking for, don’t wait and apply today!"
Technical Business Analyst,Hudson Australia,Brisbane QLD,None," 0ur client, a well-known organisation in the Tertiary Education sector, is currently seeking a Technical Business Analyst for an initial 6-month contract opportunity. Project Overview The project will implement a new digital ID card system. The proposed system comprises multiple components such as automated identify verification, digital id and a new software ""orchestration"" tool. The new system will also offer several benefits to the organisaiton, such as reducing administrative costs and providing an improved user experience. Position Overview The project is about to enter the delivery phase and they are ideally seeking a Technical BA with the following skills/experience. Essential skills and experience required: 0ur client, a well-known organisation in the Tertiary Education sector, is currently seeking a Technical Business Analyst for an initial 6-month contract opportunity. Project Overview The project will implement a new digital ID card system. The proposed system comprises multiple components such as automated identify verification, digital id and a new software ""orchestration"" tool. The new system will also offer several benefits to the organisaiton, such as reducing administrative costs and providing an improved user experience. Position Overview The project is about to enter the delivery phase and they are ideally seeking a Technical BA with the following skills/experience. Essential skills and experience required: To submit your application, in strict confidence, please submit your resume in Word Format using the appropriate link quoting reference No. 2294884. Should you require further information please email [email protected]  Your interest will be treated in the strictest of confidence."
Principal HR Data Analyst,"Children, Youth Justice and Multicultural Affairs",Brisbane QLD,None,N/A
Data Analyst,Technology Recruiting Solutions,Melbourne VIC,None,"Salary/Day Rate: $600 – $700 per day: Short Description: 3-6 Month Contract available for an experienced Data Analyst for a Top ASX Listed Global organisation Role Description Contract Data Analyst required for a Top ASX Listed Global organisation. The role will run for a provisional 3-6 months and offers a competitive contract daily rate, flexible working environment and a great company culture. Key Skills required include: R and/or Python programming languages Proficiency with some of the following libraries: Tidyverse, Plotly and RShiny in R and Pandas, Numpy and Scikit-Learn in Python Experience using and understanding machine learning modelling techniques Experience building R Shiny dashboards would be highly desirable Experience / knowledge of database management languages such as SQL Cloud based exposure in any of the following environments: AWS, Azure or Google Cloud Platform Experience with visualization products such as, PowerBI, Tableau or QliksensePosted 1 month agoMelbourneData Analyst"
Head of Analytics and Data Science,MVP1 Ventures,N/A,None,ResponsibilitiesTools and CapabilitiesInterested candidates can share cv to [email protected]
Wavemaker | Data Analyst,Wavemaker,Sydney NSW 2000,None,"Data Analyst  At Wavemaker, we believe there always is a better way to grow. By Positively Provoking Growth for our clients, our people and our partners, we shape decisions and experiences through media, content and technology. We are part of GroupM and WPP; the largest media buying alliance and marketing communications group ranked #1 in the world. In Australia and New Zealand, we have over 250 people working across six offices: Adelaide, Brisbane, Melbourne, Sydney, Perth and Auckland. Across 2022 and into 2023 we have won at the MFA Awards, AIMCO Awards, B&T 30 under 30, Festival of Media Global, Campaign Women to Watch, Mumbrella Travel Marketing Awards, MediaWeek, Festival of Media Cause, UnLtd Hall of Good, Campaign Asia, DRUM Awards. We pride ourselves on our culture and our people. Our goal is to make our workplaces as vibrant and diverse as the cities we work in. We are achieving this by building a workforce that represents the complete spectrum of backgrounds and experiences. We’re committed to cultivating a work environment which is diverse in representation and thought, that promotes and celebrates inclusivity and provides equitable opportunities to all. YOUR ROLE: You will be responsible for bringing together data, creativity and multiple methods to help our stakeholders make better choices rooted in human insights. All our people, processes and technology are united through our focus on understanding, accelerating and optimizing the current offerings, making them more satisfying for stakeholders and more effective for our clients. WHAT YOU SHOULD SPEND YOUR TIME DOING: In order for the business to work, you will be required to spend time in certain areas of the business and make sure your stakeholders are aligned. In addition, you will be the subject matter on all things Data Analysis in the CTTO. Your key responsibilities are as follows: Product  Partnership People  Performance WHAT IT TAKES EXPERIENCE: The Data Analyst will support the data/tech & Wavemaker team for all things Data Analysis & Visualisation. They will have exceptional interpersonal skills, being able to communicate complex issues in an easy to digest format. In addition, have strong business acumen & technical skills to ensure Wavemaker retains and improves its competitive advantage when it comes to data and technology. You will provide pivotal support to the wider teams in making business decisions and supporting clients, using statistical models & data analysis. COMPETENCIES: Working at Wavemaker Wavemaker is our name, our mission and our method. We believe there is always a better way to grow. Our attitude, Positive Provocation, is defined by the idea that what got you here, won’t get you there. Today that seems more appropriate than ever. We don’t provoke for the sake of it, we provoke to create innovative and better outcomes for our clients. This attitude is behind our growth, helping us attract and retain some of the most iconic brands across ANZ. Being a provocateur meansInclusive policies Research shows that candidates from underrepresented backgrounds often don't apply for roles if they don't meet all the criteria. Here, we strongly encourage you to apply if you’re interested: we'd love to know how you can positively impact our team with your experience! We believe that diversity is vital and positively influences the environment in which we operate. We are committed to fostering a diverse and inclusive work environment that is free of discrimination, harassment or bullying. Race, colour, ancestry, religion, gender, gender identity, national origin, sexual orientation, age, marital status, disability or veteran status have no bearing on our hiring decisions, we encourage all applicants.  Apply now and send your CV via the link!"
Data Governance Business Analyst - Australia,Cervello Inc,N/A,None,"We are looking for a Business Analyst to support the growth of our new fast growing Data Governance (DG) practice area. You will be responsible for working closely with our Data Governance Senior Director in supporting our data governance project workstreams to our various clients. You will have the opportunity to put your footprint on the growth of this team and accelerate delivery for our clients in this domain. The individual in this role must have strong interpersonal and communication skills as well as have the ability to prioritize, organize and coordinate simultaneous projects and tasks. Responsibilities  Desired Skills and Abilities: About Us: Our Workplace is Fun and Fast-Paced At Cervello we believe in the power of connection. We focus on helping organizations harness the interconnectedness of digital capabilities and data. We are problem solvers and builders focused on helping our clients win with data. We are lively and creative, and foster a casual environment that is conducive to collaboration and problem solving. We take our work seriously but not ourselves. It’s the perfect balance of freedom and accountability. If you want to be part of something great – join us! To learn more, visit mycervello.com. You will report to your project leaders, teammates, and practice leaders. Cervello practices 360 reviews twice a year, and we live our values. We offer a great benefits’ package including, paid parental leave, 401k pension match, bonuses, and comprehensive insurance. We place an emphasis on mental health and work to ensure our employees are happy and healthy. Equal Employment Opportunity and Nondiscrimination Cervello Inc., a Kearney company is an equal opportunity employer. Cervello prides itself on providing a culture that allows employees to bring their whole selves to work every day. We are committed to building a diverse, unbiased and inclusive workforce. Cervello is committed to a work environment that supports and respects all individuals and in which all employment related processes are merit-based alone and applied without discrimination on the basis without regard to a person's gender identity or expression, sexual orientation, race, religion, age, national or ethnic origin, disability, marital status, pregnancy status, military service status, citizenship, genetic information or any other characteristics consistent with applicable laws. This includes providing reasonable accommodation for disabilities, or religious beliefs and practices. Cervello is committed to ensuring that our online application process provides an equal employment opportunity to all applicants, including individuals with disabilities. Applicants with disabilities that prevent or limit their ability to use or access the Cervello site, or that require any other accommodation in the application process due to a disability, may request a reasonable accommodation with the recruitment team who will be happy to assist. Revised 2/1/2023 puaOtIOlwe"
Junior Business Analyst - Unbeatable Company Culture,First Page,Cremorne VIC,None," Looking to take your career to a whole new level? Then this role is for you! First Page is a certified “GREAT PLACE TO WORK” with a 4.8/5 Glassdoor rating and our mission is to create amazing digital experiences by implementing game-changing digital strategies. As APAC’s highest-rated digital agency, First Page has seen insane growth and won numerous awards over the past 3 years. The Opportunity: You'll join our global insights & marketing team as a Junior AI Business Analyst and your role will be to identify and rectify inefficiencies in our global group of companies with the use of AI. What you will be doing: What you'll need to succeed: The rest we can teach you. Perks: To make sure that our culture continues to incorporate everyone's perspectives, we never discriminate on the basis of race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status. Please attach your CV and we will be in touch for a confidential chat. Let's do great things together!"
Junior Security Analyst,N/A,N/A,Data Insights Analyst,N/A
Data Analyst,Digitalent,Australia,None,"Salary: 90000 - 120000 AUD/Year Country: Australia Location:  Contract: PermanentWe are currently working with a leader in their space in the construction industry as we help them find their first Data Analyst. You’ll work closely with each of their internal teams (Sales, Service, Marketing, Accounts and Engineering) to understand, simplify and streamline their existing data and implement processes to improve data management. You’ll have the ability to provide support and guidance to the team on interpreting the reports, dashboards and visualisations. Working with the on-prem data sources along with systems such as Salesforce, Google, Azure and Xero they need someone to create useful dashboards and reports. Does the below sound like you? We want to hear from you. RequirementsExample of larger projects in the role:"
Junior Data Analyst,S2M Digital,Sydney NSW,None, Overview  This client is a media agency backed by a huge global brand. The work they do drives change globally for the world and NFP's This role would suit a socially conscious analyst who wants to use their powers for good!  Perks and Culture and Package   
Data Analyst,Arc Infrastructure,Perth Airport WA,None,"Arc Infrastructure manages and develops transport infrastructure assets that support growth and create jobs in WA. Rail is at the heart of our business, and the 5,500km rail network is the backbone of freight transport in Western Australia from the diverse Midwest across to the fascinating Goldfields and Yilgarn regions through to the stunning South West and Great Southern. We’re committed to working with industry, our customers, partners and communities to find new opportunities that will support and strengthen our rail network for the benefit of WA.This role has been created to enhance the development of our Asset Information GIS Strategy to support Arc’s Digital Twin. The role will be coordinating the build and update of a geospatial track model, including 5,550km of track centreline, >50,000 fixed assets and related data. Additionally, this role will develop and implement a maintenance and asset update strategy for the centreline and related data.Your responsibilities will include:Working at Arc InfrastructureWorking with us means working in a team environment where each person and team is valued for the diverse skills, ideas and experiences they bring. We promote a work environment that is characterised by personal accountability, mutual trust and respect and a genuine interest in employees. We understand our employees are the key to our success and as a team, our focus is to ensure they feel safe, valued and fulfilled in the work that they do. We provide a range of employee benefits including:To learn more about Arc Infrastructure visit www.arcinfra.com/CareersHow to applyIf this looks like the role for you, please click the ‘Apply Now’ button to complete the online application. General queries can be directed to [email protected] Please note we are unable to accept emailed applications.Arc Infrastructure is committed to achieving a diverse and engaged workforce. We are an equal opportunity employer and encourage applications from female and Aboriginal and Torres Strait Island candidates.Applications close on 21st July 2023Recruitment agencies, our internal HR team looks after all of our vacancies. If we need your assistance we will reach out to you."
Product Analyst,State Trustees Limited,Footscray VIC,Data Insights Analyst,N/A
Senior Data Analyst,Rokt,Sydney NSW,None,"Company Description  Jobs for Humanity is dedicated to building an inclusive and just employment ecosystem. Therefore, we have dedicated this job posting to individuals coming from the following communities: Refugee, Neurodivergent, Single Parent, Blind or Low Vision, Deaf or hard of hearding, Black, Hispanic, Asian, Military Veterans, the Elderly, the LGBTQ, and Justice Impacted individuals. If you identify with any of the following communities do not hesitate to register.   Company Name: RoktRokt is the global leader in eCommerce technology, helping companies seize the full potential of every transaction moment to grow revenue and acquire new customers at scale. Live Nation, AMC Theatres, PayPal, Uber, Hulu, Staples, Lands’ End, and HelloFresh are among the more than 2,500 leading global businesses and advertisers that use Rokt's solutions to drive more value through every transaction by offering highly relevant messages to their customers at the moment they are most likely to convert. With our December 2022 secondary transaction, Rokt’s valuation increased to $2.4 Billion. We are expanding rapidly and globally – operating in 14 countries across North America, Europe and the Asia-Pacific region with the largest office in Sydney and a major R&D hub in NYC. With 50% annual growth and vibrant company culture, Rokt has been listed in ‘Great Places to Work’ in the US and Australia. Our award-winning culture is guided by our eight core values: smart with humility, own the outcomes, force for good, conquer new frontiers, enjoy the ride, raise the bar, communicate with impact, and disagree then commit. These values help us attract, engage, and develop the right talent around the globe and ensure we foster an environment that helps us all do our best work. Keen to join a fast-growing company and a vibrant culture? Learn more at rokt.com. Rokt is hiring a Senior Data Analyst to join our Product Development team in Sydney. We are a data-driven company, and data is at the heart of all of our decision-making. We are looking for someone who will help the business innovate and grow through comprehensive and actionable data-driven insights. As a Senior Data Analyst, you will play a key role in helping our Rokt Ecommerce and Relevancy/ML teams enhance the value they create for our partners and advertisers through deep-dive analyses, providing recommendations on improving products and features, building models and data products that can be actioned on by various teams, and influencing teams with your analyses, models and recommendations. You will be expected to leverage your business acumen, analytical skill, product sense, and communication to drive a variety of impactful initiatives across Product teams that you are embedded into. You will also be expected to own and develop new metrics, and measurement frameworks, track performance, define success for various features and investigate changes in their KPIs. An ideal candidate will develop data products that scale, produce accurate and statistically robust analyses, and communicate in a way that makes analyses and models easy to interpret by Product, Engineering, and GTM teams. Requirements Minimum QualificationsPreferred QualificationsBenefitsSalary Range - $142,500 to $165,000 AUD per year plus equity #LI-Hybrid"
Data Engineering Analyst,Accenture,Melbourne VIC,Data Insights Analyst,"Accenture is a global professional services company with leading capabilities in digital, cloud and security. Find out more about us at accenture.com. Our team: Accenture’s Data Engineering practice covers the range of Data and AI skills across all domains of data governance & quality, cloud & traditional data engineering and visual insights & next generation user interfaces. When combined with Accenture’s broader Strategy and Consulting and Technology businesses, we are able to bring together the unique end to end business changes through the application of Data and AI. You'll learn, grow and advance in an innovative culture that thrives on shared success, diverse ways of thinking and where you can drive your career in new and exciting ways. Hungry for change and keen to level up, you will become an integral part of our Cloud First & Applied Intelligence team with the credibility, expertise and insight clients depend on working with famous brands and household names – tackling some of the most challenging industry, community and national problems. We are looking for hands-on authentic and committed Data Engineers to support clients across a range of industries. Responsibilities will include all aspects of data engineering from delivery planning, estimating and analysis, all the way through to data architecture and pipeline design, delivery and production implementation You will be working on client projects with teams from across our Applied Intelligence practice as well as industry, functional, and technology SMEs on some of our clients most challenging projects You will be designing and implementing complex data solutions ranging from batch to streaming and event-driven architectures, across cloud, on-premise, and hybrid client technology landscapes Additionally, you will be helping translate data to insights that enable the business to make decisions as well as using visualisations to tell a compelling story with data that makes complex topics understandable Ensure technical expectations of deliverables are met We are looking for experience a number in the following skills: 3+ years of experience in data engineering in a customer or business facing capacity Ability to understand and articulate requirements to technical and non-technical audiences Stakeholder management and communication skills, including prioritising, problem solving and interpersonal relationship building Strong experience in SDLC delivery, including waterfall, hybrid and Agile methodologies. Experience delivering in an agile environment, Experience of implementing and delivering data solutions and pipelines on Azure cloud platforms A strong understanding of data modelling, data structures, databases, and ETL processes An in-depth understanding of large-scale data sets, including both structured and unstructured data Strong SQL and/or Python knowledge Experience with related/complementary open source software platforms and languages (e.g. Java, Linux, Apache, Perl/Python/PHP, Chef) Knowledge and experience of delivering CI/CD and DevOps capabilities in a data environment Salary range: 70,000 to 85,000 AUD Equal Employment Opportunity Statement for Australia: At Accenture, we recognise that our people are multi-dimensional, and we create a work environment where all people feel like they can bring their authentic selves to work, every day. Our unwavering commitment to inclusion and diversity unleashes innovation and creates a culture where everyone feels they have equal opportunity. Our range of progressive policies support flexibility in ‘where’, ‘when’ and ‘how’ our people work to ensure that Accenture is an organisation where you can strive for more, achieve great things and maintain the balance and wellbeing you need. We encourage applications from all people, and we are committed to removing barriers to the recruitment process and employee lifecycle. All employment decisions shall be made without regard to age, disability status, ethnicity, gender, gender identity or expression, religion or sexual orientation and we do not tolerate discrimination. If you require adjustments to the recruitment process or have a preferred communication method, please email [email protected] and cite the relevant Job Number, or contact us on +61 2 9005 5000. To ensure our workplace is inclusive and diverse we are setting bold goals and taking comprehensive action. To achieve these goals, we collect information that allows us to track the effectiveness of our Inclusion and Diversity programs. Learn how Accenture protects your personal data and know your rights in relation to your personal data. Read more about our Privacy Statement."
